,ISO2,ISO3,country,year,countries,ISO,hf_score,hf_quartile,pf_score,ef_score,asciiname,latitude,longitude,country code,population
1018,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Obera,-27.48706,-55.11994,AR,56528.0
1019,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Necochea,-38.5545,-58.73961,AR,80478.0
1020,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Moron,-34.6509,-58.61956,AR,319934.0
1021,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Monte Caseros,-30.25359,-57.63626,AR,24671.0
1022,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Montecarlo,-26.5662,-54.757,AR,22229.0
1023,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Mercedes,-34.65145,-59.43068,AR,52949.0
1024,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Mercedes,-29.18416,-58.07519,AR,30649.0
1025,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Mar del Plata,-38.00228,-57.55754,AR,553935.0
1026,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Lujan,-34.57028,-59.105,AR,81749.0
1027,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,La Plata,-34.92145,-57.95453,AR,694167.0
1028,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,La Paz,-30.74485,-59.64566,AR,24716.0
1029,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Jardin America,-27.04346,-55.22698,AR,24905.0
1030,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Gualeguaychu,-33.00937,-58.51722,AR,78676.0
1031,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Gualeguay,-33.14156,-59.30966,AR,33120.0
1032,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Goya,-29.14395,-59.2651,AR,70245.0
1033,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Gobernador Ingeniero Valentin Virasoro,-28.05,-56.03333,AR,28756.0
1034,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,General Jose de San Martin,-26.53743,-59.34158,AR,31758.0
1035,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Garupa,-27.48171,-55.82921,AR,28814.0
1036,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Formosa,-26.17753,-58.17814,AR,221383.0
1037,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Fontana,-27.41813,-59.02392,AR,26745.0
1038,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Federal,-30.95465,-58.78326,AR,16333.0
1039,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Esquina,-30.01444,-59.52719,AR,26399.0
1040,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,El Soberbio,-27.29847,-54.19877,AR,19571.0
1041,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Dolores,-36.31321,-57.67918,AR,25190.0
1042,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Curuzu Cuatia,-29.79171,-58.0546,AR,36390.0
1043,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Corrientes,-27.4806,-58.8341,AR,339067.0
1044,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Concordia,-31.39296,-58.02089,AR,145210.0
1045,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Concepcion del Uruguay,-32.48249,-58.23722,AR,67895.0
1046,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Colegiales,-34.57365,-58.44924,AR,57000.0
1047,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Chajari,-30.75048,-57.97962,AR,30655.0
1048,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Campana,-34.16874,-58.95914,AR,81612.0
1049,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Buenos Aires,-34.61315,-58.37723,AR,13076300.0
1050,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Barranqueras,-27.48132,-58.93925,AR,50823.0
1051,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Azul,-36.77698,-59.85854,AR,53941.0
1052,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Avellaneda,-29.11761,-59.65834,AR,23077.0
1053,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Aristobulo del Valle,-27.09625,-54.89626,AR,20683.0
1054,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Zapala,-38.89916,-70.05442,AR,31534.0
1055,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Yerba Buena,-26.81667,-65.31667,AR,50783.0
1056,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Villa Regina,-39.1,-67.06667,AR,31209.0
1057,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Villa Paula de Sarmiento,-31.4933,-68.53838,AR,19092.0
1058,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Villa Nueva,-32.43293,-63.24763,AR,16841.0
1059,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Villa Maria,-32.40751,-63.24016,AR,92453.0
1060,AR,ARG,Argentina,2019.0,Argentina,ARG,7.38,2.0,8.73,5.5,Villa Dolores,-31.94585,-65.18958,AR,28009.0
